grupo,programa,periodo,semestre,modalidad,sede,peama,sede_oferta,programa_original_crudo,puntaje,cupos,fuente,ord
Bogotá,Ciencia Política,2014-1,I,Regular,Bogotá,,,Ciencia Política,657.8862,74,base_bogota_corregida,4028
Bogotá,Ciencia Política,2014-2,II,Regular,Bogotá,,,Ciencia Política,632.1245,84,base_bogota_corregida,4029
Bogotá,Ciencia Política,2015-1,I,Regular,Bogotá,,,Ciencia Política,660.2486,84,base_bogota_corregida,4030
Bogotá,Ciencia Política,2015-2,II,Regular,Bogotá,,,Ciencia Política,629.4327,84,base_bogota_corregida,4031
Bogotá,Ciencia Política,2016-1,I,Regular,Bogotá,,,Ciencia Política,649.7777,84,base_bogota_corregida,4032
Bogotá,Ciencia Política,2016-2,II,Regular,Bogotá,,,Ciencia Política,625.2211,84,base_bogota_corregida,4033
Bogotá,Ciencia Política,2017-1,I,Regular,Bogotá,,,Ciencia Política,659.6061,82,base_bogota_corregida,4034
Bogotá,Ciencia Política,2017-2,II,Regular,Bogotá,,,Ciencia Política,635.53,84,base_bogota_corregida,4035
Bogotá,Ciencia Política,2018-1,I,Regular,Bogotá,,,Ciencia Política,656.6647,90,base_bogota_corregida,4036
Bogotá,Ciencia Política,2018-2,II,Regular,Bogotá,,,Ciencia Política,638.4985,90,base_bogota_corregida,4037
Bogotá,Ciencia Política,2019-1,I,Regular,Bogotá,,,Ciencia Política,657.8519,90,base_bogota_corregida,4038
Bogotá,Ciencia Política,2019-2,II,Regular,Bogotá,,,Ciencia Política,630.5075,90,base_bogota_corregida,4039
Bogotá,Ciencia Política,2020-1,I,Regular,Bogotá,,,Ciencia Politica,647.2855,86,201_regulares_y_MBP_Bogota.pdf,4040
Bogotá,Ciencia Política,2020-2,II,Regular,Bogotá,,,Ciencia Politica,603.6164,76,202_regulares_y_MBP_Bogota_1_.pdf,4041
Bogotá,Ciencia Política,2021-1,I,Regular,Bogotá,,,Ciencia Politica,629.2563,75,211_regulares_y_MBP_BOGOTA.pdf,4042
Bogotá,Ciencia Política,2021-2,II,Regular,Bogotá,,,Ciencia Politica,564.967,75,212_regulares_y_MBP-Bogota.pdf,4043
